identity_key,project_code,alternate_identifier,first_observed_month,last_observed_month,number_of_months,consecutive_months,gaps,months_before_first_revision,months_before_last_revision,eligible_cutoffs_3m,eligible_cutoffs_6m
L:N24001475,,N24001475,2025-04,2025-04,1,1,0,,,0,0
L:N24001476,,N24001476,2025-04,2025-06,3,3,0,,,0,0
L:N24001477,,N24001477,2025-04,2025-06,3,3,0,,,0,0
L:N24001479,,N24001479,2025-04,2025-06,3,3,0,,,0,0
L:N24001480,,N24001480,2025-04,2025-06,3,3,0,,,0,0
L:N24001482,,N24001482,2025-04,2025-06,3,3,0,1,1,0,0
L:N24001483,,N24001483,2025-04,2025-06,3,3,0,1,1,0,0
L:N24001484,,N24001484,2025-04,2025-06,3,3,0,1,1,0,0
L:N24001486,,N24001486,2025-04,2025-06,3,3,0,,,0,0
L:N24001488,,N24001488,2025-04,2025-06,3,3,0,,,0,0
L:N24001493,,N24001493,2025-04,2025-06,3,3,0,,,0,0
L:N24001495,,N24001495,2025-04,2025-06,3,3,0,,,0,0
L:N24001502,,N24001502,2025-04,2025-06,3,3,0,1,2,0,0
L:N24001503,,N24001503,2025-04,2025-06,3,3,0,,,0,0
L:N24001504,,N24001504,2025-04,2025-06,3,3,0,,,0,0
L:N24001505,,N24001505,2025-04,2025-06,3,3,0,,,0,0
L:N24001506,,N24001506,2025-04,2025-06,3,3,0,,,0,0
L:N24001507,,N24001507,2025-04,2025-06,3,3,0,,,0,0
L:N24001508,,N24001508,2025-04,2025-06,3,3,0,,,0,0
L:N24001511,,N24001511,2025-04,2025-06,3,3,0,1,1,0,0
L:N24001515,,N24001515,2025-04,2025-06,3,3,0,,,0,0
L:N24001516,,N24001516,2025-04,2025-06,3,3,0,1,1,0,0
L:N24001518,,N24001518,2025-04,2025-06,3,3,0,,,0,0
L:N24001519,,N24001519,2025-04,2025-06,3,3,0,,,0,0
L:N24001520,,N24001520,2025-04,2025-06,3,3,0,,,0,0
L:N24001521,,N24001521,2025-04,2025-06,3,3,0,1,1,0,0
L:N24001522,,N24001522,2025-04,2025-06,3,3,0,1,1,0,0
L:N24001523,,N24001523,2025-04,2025-06,3,3,0,1,2,0,0
L:N24001524,,N24001524,2025-04,2025-06,3,3,0,1,2,0,0
L:N24001525,,N24001525,2025-04,2025-06,3,3,0,,,0,0
L:N24001526,,N24001526,2025-04,2025-06,3,3,0,,,0,0
L:N24001527,,N24001527,2025-04,2025-06,3,3,0,,,0,0
L:N24001528,,N24001528,2025-04,2025-06,3,3,0,,,0,0
L:N24001529,,N24001529,2025-04,2025-06,3,3,0,,,0,0
L:N24001530,,N24001530,2025-04,2025-06,3,3,0,,,0,0
L:N24001532,,N24001532,2025-04,2025-04,1,1,0,,,0,0
L:N24001533,,N24001533,2025-04,2025-04,1,1,0,,,0,0
L:N24001534,,N24001534,2025-04,2025-04,1,1,0,,,0,0
L:N24001535,,N24001535,2025-04,2025-06,3,3,0,,,0,0
L:N24001536,,N24001536,2025-04,2025-04,1,1,0,,,0,0
L:N24001537,,N24001537,2025-04,2025-06,3,3,0,,,0,0
L:N24001538,,N24001538,2025-04,2025-06,3,3,0,1,1,0,0
L:N24001539,,N24001539,2025-04,2025-06,3,3,0,,,0,0
L:N24001540,,N24001540,2025-04,2025-06,3,3,0,,,0,0
L:N24001541,,N24001541,2025-04,2025-06,3,3,0,,,0,0
L:N24001542,,N24001542,2025-04,2025-06,3,3,0,,,0,0
L:N24001543,,N24001543,2025-04,2025-06,3,3,0,,,0,0
L:N24001544,,N24001544,2025-04,2025-06,3,3,0,,,0,0
L:N24001545,,N24001545,2025-04,2025-06,3,3,0,,,0,0
L:N24001546,,N24001546,2025-04,2025-06,3,3,0,,,0,0
L:N24001547,,N24001547,2025-04,2025-06,3,3,0,,,0,0
L:N24001548,,N24001548,2025-04,2025-06,3,3,0,,,0,0
L:N24001550,,N24001550,2025-04,2025-06,3,3,0,1,1,0,0
L:N24001551,,N24001551,2025-04,2025-06,3,3,0,1,1,0,0
L:N24001552,,N24001552,2025-04,2025-06,3,3,0,1,1,0,0
L:N24001553,,N24001553,2025-04,2025-06,3,3,0,1,1,0,0
L:N24001555,,N24001555,2025-04,2025-06,3,3,0,,,0,0
L:N24001556,,N24001556,2025-04,2025-06,3,3,0,,,0,0
L:N24001557,,N24001557,2025-04,2025-06,3,3,0,1,2,0,0
L:N24001558,,N24001558,2025-04,2025-06,3,3,0,1,2,0,0
L:N24001559,,N24001559,2025-04,2025-06,3,3,0,1,2,0,0
L:N24001563,,N24001563,2025-04,2025-06,3,3,0,1,2,0,0
L:N24001564,,N24001564,2025-04,2025-06,3,3,0,1,2,0,0
L:N24001567,,N24001567,2025-04,2025-06,3,3,0,2,2,0,0
L:N24001568,,N24001568,2025-04,2025-06,3,3,0,1,2,0,0
L:N24001573,,N24001573,2025-04,2025-06,3,3,0,1,2,0,0
L:N24001587,,N24001587,2025-04,2025-06,3,3,0,,,0,0
L:N24001588,,N24001588,2025-04,2025-06,3,3,0,,,0,0
L:N24001589,,N24001589,2025-04,2025-06,3,3,0,,,0,0
L:N24001590,,N24001590,2025-04,2025-06,3,3,0,,,0,0
L:N24001593,,N24001593,2025-04,2025-06,3,3,0,,,0,0
L:N24001594,,N24001594,2025-04,2025-06,3,3,0,,,0,0
L:N24001595,,N24001595,2025-04,2025-06,3,3,0,2,2,0,0
L:N24001596,,N24001596,2025-04,2025-06,3,3,0,,,0,0
L:N24001598,,N24001598,2025-04,2025-06,3,3,0,2,2,0,0
L:N24001599,,N24001599,2025-04,2025-06,3,3,0,,,0,0
L:N24001600,,N24001600,2025-04,2025-05,2,2,0,1,1,0,0
L:N24001601,,N24001601,2025-04,2025-06,3,3,0,2,2,0,0
L:N24001602,,N24001602,2025-04,2025-06,3,3,0,1,1,0,0
L:N24001603,,N24001603,2025-04,2025-05,2,2,0,1,1,0,0
L:N24001605,,N24001605,2025-04,2025-06,3,3,0,,,0,0
L:N24001606,,N24001606,2025-04,2025-06,3,3,0,1,1,0,0
L:N24001607,,N24001607,2025-04,2025-06,3,3,0,,,0,0
L:N24001608,,N24001608,2025-04,2025-06,3,3,0,,,0,0
L:N24001609,,N24001609,2025-04,2025-06,3,3,0,,,0,0
L:N24001610,,N24001610,2025-04,2025-06,3,3,0,,,0,0
L:N24001611,,N24001611,2025-04,2025-06,3,3,0,,,0,0
L:N24001612,,N24001612,2025-04,2025-06,3,3,0,,,0,0
L:N24001614,,N24001614,2025-04,2025-06,3,3,0,,,0,0
L:N24001615,,N24001615,2025-04,2025-06,3,3,0,1,1,0,0
L:N24001616,,N24001616,2025-04,2025-04,1,1,0,,,0,0
L:N24001618,,N24001618,2025-04,2025-06,3,3,0,,,0,0
L:N24001619,,N24001619,2025-04,2025-06,3,3,0,,,0,0
L:N24001620,,N24001620,2025-04,2025-06,3,3,0,,,0,0
L:N24001621,,N24001621,2025-04,2025-06,3,3,0,2,2,0,0
L:N24001622,,N24001622,2025-04,2025-06,3,3,0,2,2,0,0
L:N24001623,,N24001623,2025-04,2025-06,3,3,0,1,1,0,0
L:N24001624,,N24001624,2025-04,2025-06,3,3,0,,,0,0
L:N24001625,,N24001625,2025-04,2025-06,3,3,0,,,0,0
L:N24001626,,N24001626,2025-04,2025-06,3,3,0,,,0,0
L:N24001627,,N24001627,2025-04,2025-06,3,3,0,,,0,0
L:N24001628,,N24001628,2025-04,2025-06,3,3,0,,,0,0
L:N24001629,,N24001629,2025-04,2025-06,3,3,0,1,2,0,0
L:N24001630,,N24001630,2025-04,2025-06,3,3,0,,,0,0
L:N24001631,,N24001631,2025-04,2025-06,3,3,0,,,0,0
L:N24001632,,N24001632,2025-04,2025-06,3,3,0,,,0,0
L:N24001633,,N24001633,2025-04,2025-06,3,3,0,,,0,0
L:N24001634,,N24001634,2025-04,2025-06,3,3,0,,,0,0
L:N24001635,,N24001635,2025-04,2025-06,3,3,0,,,0,0
L:N24001636,,N24001636,2025-04,2025-06,3,3,0,,,0,0
L:N24001637,,N24001637,2025-04,2025-06,3,3,0,,,0,0
L:N24001638,,N24001638,2025-04,2025-06,3,3,0,,,0,0
L:N24001639,,N24001639,2025-04,2025-06,3,3,0,,,0,0
L:N24001640,,N24001640,2025-04,2025-06,3,3,0,,,0,0
L:N24001641,,N24001641,2025-04,2025-06,3,3,0,,,0,0
L:N24001642,,N24001642,2025-04,2025-06,3,3,0,,,0,0
L:N24001643,,N24001643,2025-04,2025-06,3,3,0,,,0,0
L:N24001644,,N24001644,2025-04,2025-06,3,3,0,,,0,0
L:N24001647,,N24001647,2025-04,2025-06,3,3,0,,,0,0
L:N24001648,,N24001648,2025-04,2025-06,3,3,0,,,0,0
L:N24001649,,N24001649,2025-04,2025-06,3,3,0,,,0,0
L:N24001650,,N24001650,2025-04,2025-06,3,3,0,,,0,0
L:N24001651,,N24001651,2025-04,2025-06,3,3,0,,,0,0
L:N24001652,,N24001652,2025-04,2025-06,3,3,0,,,0,0
L:N24001653,,N24001653,2025-04,2025-06,3,3,0,,,0,0
L:N24001654,,N24001654,2025-04,2025-06,3,3,0,,,0,0
L:N24001655,,N24001655,2025-04,2025-06,3,3,0,,,0,0
L:N24001656,,N24001656,2025-04,2025-06,3,3,0,,,0,0
L:N24001657,,N24001657,2025-04,2025-06,3,3,0,,,0,0
L:N24001658,,N24001658,2025-04,2025-06,3,3,0,,,0,0
L:N24001659,,N24001659,2025-04,2025-06,3,3,0,,,0,0
L:N24001660,,N24001660,2025-04,2025-06,3,3,0,,,0,0
L:N24001661,,N24001661,2025-04,2025-06,3,3,0,,,0,0
L:N24001662,,N24001662,2025-04,2025-06,3,3,0,,,0,0
L:N24001663,,N24001663,2025-04,2025-06,3,3,0,,,0,0
L:N24001664,,N24001664,2025-04,2025-06,3,3,0,,,0,0
L:N24001665,,N24001665,2025-04,2025-06,3,3,0,,,0,0
L:N24001666,,N24001666,2025-04,2025-06,3,3,0,,,0,0
L:N24001667,,N24001667,2025-04,2025-06,3,3,0,,,0,0
L:N24001668,,N24001668,2025-04,2025-06,3,3,0,,,0,0
L:N24001669,,N24001669,2025-04,2025-06,3,3,0,,,0,0
L:N24001670,,N24001670,2025-04,2025-06,3,3,0,,,0,0
L:N24001671,,N24001671,2025-04,2025-06,3,3,0,,,0,0
L:N24001673,,N24001673,2025-04,2025-06,3,3,0,,,0,0
L:N24001674,,N24001674,2025-04,2025-06,3,3,0,1,1,0,0
L:N24001676,,N24001676,2025-04,2025-06,3,3,0,,,0,0
L:N24001677,,N24001677,2025-04,2025-06,3,3,0,1,1,0,0
L:N24001678,,N24001678,2025-04,2025-06,3,3,0,,,0,0
L:N24001679,,N24001679,2025-04,2025-06,3,3,0,1,1,0,0
L:N24001680,,N24001680,2025-04,2025-06,3,3,0,2,2,0,0
L:N24001681,,N24001681,2025-04,2025-06,3,3,0,,,0,0
L:N24001682,,N24001682,2025-04,2025-06,3,3,0,,,0,0
L:N24001684,,N24001684,2025-04,2025-06,3,3,0,,,0,0
L:N24001687,,N24001687,2025-04,2025-06,3,3,0,,,0,0
L:N24001692,,N24001692,2025-04,2025-06,3,3,0,,,0,0
L:N24001693,,N24001693,2025-04,2025-06,3,3,0,,,0,0
L:N24001694,,N24001694,2025-04,2025-06,3,3,0,,,0,0
L:N24001696,,N24001696,2025-04,2025-06,3,3,0,,,0,0
L:N24001697,,N24001697,2025-04,2025-06,3,3,0,,,0,0
L:N24001698,,N24001698,2025-04,2025-06,3,3,0,1,1,0,0
L:N24001699,,N24001699,2025-04,2025-06,3,3,0,1,1,0,0
L:N24001700,,N24001700,2025-04,2025-06,3,3,0,,,0,0
L:N24001701,,N24001701,2025-04,2025-06,3,3,0,,,0,0
L:N24001702,,N24001702,2025-04,2025-06,3,3,0,,,0,0
L:N24001703,,N24001703,2025-04,2025-06,3,3,0,,,0,0
L:N24001704,,N24001704,2025-04,2025-06,3,3,0,,,0,0
L:N24001705,,N24001705,2025-04,2025-06,3,3,0,,,0,0
L:N24001708,,N24001708,2025-04,2025-04,1,1,0,,,0,0
L:N24001709,,N24001709,2025-04,2025-06,3,3,0,,,0,0
L:N24001711,,N24001711,2025-04,2025-04,1,1,0,,,0,0
L:N24001712,,N24001712,2025-04,2025-06,3,3,0,,,0,0
L:N24001715,,N24001715,2025-04,2025-06,3,3,0,,,0,0
L:N24001716,,N24001716,2025-04,2025-06,3,3,0,,,0,0
L:N24001717,,N24001717,2025-04,2025-06,3,3,0,,,0,0
L:N24001718,,N24001718,2025-04,2025-06,3,3,0,,,0,0
L:N24001719,,N24001719,2025-04,2025-06,3,3,0,,,0,0
L:N24001720,,N24001720,2025-04,2025-06,3,3,0,,,0,0
L:N24001721,,N24001721,2025-04,2025-06,3,3,0,,,0,0
L:N24001722,,N24001722,2025-04,2025-06,3,3,0,,,0,0
L:N24001723,,N24001723,2025-04,2025-06,3,3,0,,,0,0
L:N24001725,,N24001725,2025-04,2025-06,3,3,0,,,0,0
L:N24001726,,N24001726,2025-04,2025-06,3,3,0,,,0,0
L:N24001727,,N24001727,2025-04,2025-06,3,3,0,,,0,0
L:N24001729,,N24001729,2025-04,2025-06,3,3,0,,,0,0
L:N24001730,,N24001730,2025-04,2025-06,3,3,0,,,0,0
L:N24001731,,N24001731,2025-04,2025-06,3,3,0,,,0,0
L:N24001732,,N24001732,2025-04,2025-06,3,3,0,,,0,0
L:N24001733,,N24001733,2025-04,2025-06,3,3,0,,,0,0
L:N24001734,,N24001734,2025-04,2025-06,3,3,0,,,0,0
L:N24001735,,N24001735,2025-04,2025-06,3,3,0,,,0,0
L:N24001736,,N24001736,2025-04,2025-06,3,3,0,,,0,0
L:N24001737,,N24001737,2025-04,2025-06,3,3,0,,,0,0
L:N24001738,,N24001738,2025-04,2025-06,3,3,0,,,0,0
L:N24001739,,N24001739,2025-04,2025-06,3,3,0,,,0,0
L:N24001744,,N24001744,2025-04,2025-06,3,3,0,,,0,0
L:N24001745,,N24001745,2025-04,2025-06,3,3,0,,,0,0
L:N24001746,,N24001746,2025-04,2025-06,3,3,0,2,2,0,0
L:N24001747,,N24001747,2025-04,2025-06,3,3,0,,,0,0
L:N24001748,,N24001748,2025-04,2025-06,3,3,0,,,0,0
L:N24001749,,N24001749,2025-04,2025-06,3,3,0,,,0,0
L:N24001750,,N24001750,2025-04,2025-06,3,3,0,,,0,0
L:N24001753,,N24001753,2025-04,2025-06,3,3,0,1,2,0,0
L:N24001754,,N24001754,2025-04,2025-06,3,3,0,,,0,0
L:N24001755,,N24001755,2025-04,2025-06,3,3,0,,,0,0
L:N24001759,,N24001759,2025-04,2025-06,3,3,0,2,2,0,0
L:N24001762,,N24001762,2025-04,2025-06,3,3,0,1,1,0,0
L:N24001765,,N24001765,2025-04,2025-04,1,1,0,,,0,0
L:N24001766,,N24001766,2025-04,2025-06,3,3,0,,,0,0
L:N24001767,,N24001767,2025-04,2025-06,3,3,0,,,0,0
L:N24001768,,N24001768,2025-04,2025-04,1,1,0,,,0,0
L:N24001770,,N24001770,2025-04,2025-06,3,3,0,,,0,0
L:N24001771,,N24001771,2025-04,2025-06,3,3,0,,,0,0
L:N24001772,,N24001772,2025-04,2025-06,3,3,0,,,0,0
L:N24001773,,N24001773,2025-04,2025-06,3,3,0,,,0,0
L:N24001774,,N24001774,2025-04,2025-06,3,3,0,,,0,0
L:N24001775,,N24001775,2025-04,2025-06,3,3,0,,,0,0
L:N24001777,,N24001777,2025-04,2025-06,3,3,0,,,0,0
L:N24001779,,N24001779,2025-04,2025-06,3,3,0,,,0,0
L:N24001781,,N24001781,2025-04,2025-06,3,3,0,,,0,0
L:N24001785,,N24001785,2025-04,2025-06,3,3,0,,,0,0
L:N24001786,,N24001786,2025-04,2025-06,3,3,0,,,0,0
L:N24001788,,N24001788,2025-04,2025-04,1,1,0,,,0,0
L:N24001789,,N24001789,2025-04,2025-06,3,3,0,,,0,0
L:N24001790,,N24001790,2025-04,2025-06,3,3,0,,,0,0
L:N24001792,,N24001792,2025-04,2025-06,3,3,0,,,0,0
L:N24001793,,N24001793,2025-04,2025-06,3,3,0,,,0,0
L:N24001794,,N24001794,2025-04,2025-06,3,3,0,,,0,0
L:N24001795,,N24001795,2025-04,2025-06,3,3,0,,,0,0
L:N24001796,,N24001796,2025-04,2025-06,3,3,0,,,0,0
L:N24001797,,N24001797,2025-04,2025-06,3,3,0,,,0,0
L:N24001798,,N24001798,2025-04,2025-06,3,3,0,,,0,0
L:N24001799,,N24001799,2025-04,2025-06,3,3,0,,,0,0
L:N24001804,,N24001804,2025-04,2025-06,3,3,0,,,0,0
L:N24001808,,N24001808,2025-04,2025-06,3,3,0,,,0,0
L:N24001809,,N24001809,2025-04,2025-06,3,3,0,,,0,0
L:N24001810,,N24001810,2025-04,2025-06,3,3,0,,,0,0
L:N24001811,,N24001811,2025-04,2025-06,3,3,0,,,0,0
L:N24001812,,N24001812,2025-04,2025-06,3,3,0,,,0,0
L:N24001813,,N24001813,2025-04,2025-06,3,3,0,,,0,0
L:N24001815,,N24001815,2025-04,2025-04,1,1,0,,,0,0
L:N24001817,,N24001817,2025-04,2025-06,3,3,0,,,0,0
L:N24001818,,N24001818,2025-04,2025-06,3,3,0,,,0,0
L:N24001819,,N24001819,2025-04,2025-06,3,3,0,,,0,0
L:N24001820,,N24001820,2025-04,2025-06,3,3,0,,,0,0
L:N24001821,,N24001821,2025-04,2025-06,3,3,0,,,0,0
L:N24001822,,N24001822,2025-04,2025-06,3,3,0,,,0,0
L:N24001823,,N24001823,2025-04,2025-06,3,3,0,,,0,0
L:N24001824,,N24001824,2025-04,2025-06,3,3,0,,,0,0
L:N24001825,,N24001825,2025-04,2025-06,3,3,0,,,0,0
L:N24001826,,N24001826,2025-04,2025-06,3,3,0,,,0,0
L:N24001827,,N24001827,2025-04,2025-06,3,3,0,,,0,0
L:N24001828,,N24001828,2025-04,2025-06,3,3,0,,,0,0
L:N24001829,,N24001829,2025-04,2025-06,3,3,0,,,0,0
L:N24001830,,N24001830,2025-04,2025-06,3,3,0,,,0,0
L:N24001831,,N24001831,2025-04,2025-06,3,3,0,,,0,0
L:N24001832,,N24001832,2025-04,2025-06,3,3,0,,,0,0
L:N24001833,,N24001833,2025-04,2025-06,3,3,0,,,0,0
L:N24001834,,N24001834,2025-04,2025-06,3,3,0,,,0,0
L:N24001835,,N24001835,2025-04,2025-06,3,3,0,,,0,0
L:N24001836,,N24001836,2025-04,2025-06,3,3,0,,,0,0
L:N24001837,,N24001837,2025-04,2025-06,3,3,0,,,0,0
L:N24001838,,N24001838,2025-04,2025-06,3,3,0,,,0,0
L:N24001840,,N24001840,2025-04,2025-06,3,3,0,,,0,0
L:N24001841,,N24001841,2025-04,2025-06,3,3,0,,,0,0
L:N24001842,,N24001842,2025-04,2025-06,3,3,0,,,0,0
L:N24001843,,N24001843,2025-04,2025-06,3,3,0,,,0,0
L:N24001844,,N24001844,2025-04,2025-06,3,3,0,,,0,0
L:N24001845,,N24001845,2025-04,2025-06,3,3,0,,,0,0
L:N24001846,,N24001846,2025-04,2025-06,3,3,0,,,0,0
L:N24001847,,N24001847,2025-04,2025-06,3,3,0,,,0,0
L:N24001848,,N24001848,2025-04,2025-06,3,3,0,,,0,0
L:N24001849,,N24001849,2025-04,2025-06,3,3,0,,,0,0
L:N24001850,,N24001850,2025-04,2025-06,3,3,0,,,0,0
L:N24001851,,N24001851,2025-04,2025-06,3,3,0,,,0,0
L:N24001852,,N24001852,2025-04,2025-06,3,3,0,,,0,0
L:N24001853,,N24001853,2025-04,2025-06,3,3,0,,,0,0
L:N24001854,,N24001854,2025-04,2025-06,3,3,0,,,0,0
L:N24001855,,N24001855,2025-04,2025-06,3,3,0,1,1,0,0
L:N24001856,,N24001856,2025-04,2025-06,3,3,0,,,0,0
L:N24001857,,N24001857,2025-04,2025-06,3,3,0,,,0,0
L:N24001858,,N24001858,2025-04,2025-06,3,3,0,,,0,0
L:N24001859,,N24001859,2025-04,2025-06,3,3,0,,,0,0
L:N24001860,,N24001860,2025-04,2025-06,3,3,0,,,0,0
L:N24001861,,N24001861,2025-04,2025-06,3,3,0,,,0,0
L:N24001862,,N24001862,2025-04,2025-06,3,3,0,,,0,0
L:N24001863,,N24001863,2025-04,2025-06,3,3,0,,,0,0
L:N24001864,,N24001864,2025-04,2025-06,3,3,0,,,0,0
L:N24001865,,N24001865,2025-04,2025-06,3,3,0,2,2,0,0
L:N24001866,,N24001866,2025-04,2025-06,3,3,0,,,0,0
L:N24001867,,N24001867,2025-04,2025-06,3,3,0,,,0,0
L:N24001868,,N24001868,2025-04,2025-06,3,3,0,,,0,0
L:N24001869,,N24001869,2025-04,2025-04,1,1,0,,,0,0
L:N24001870,,N24001870,2025-04,2025-06,3,3,0,,,0,0
L:N24001875,,N24001875,2025-04,2025-06,3,3,0,,,0,0
L:N24001876,,N24001876,2025-04,2025-06,3,3,0,,,0,0
L:N24001877,,N24001877,2025-04,2025-06,3,3,0,,,0,0
L:N24001878,,N24001878,2025-04,2025-06,3,3,0,,,0,0
L:N24001879,,N24001879,2025-04,2025-06,3,3,0,,,0,0
L:N24001880,,N24001880,2025-04,2025-06,3,3,0,,,0,0
L:N24001882,,N24001882,2025-04,2025-06,3,3,0,,,0,0
L:N24001883,,N24001883,2025-04,2025-06,3,3,0,,,0,0
L:N24001884,,N24001884,2025-04,2025-06,3,3,0,,,0,0
L:N24001885,,N24001885,2025-04,2025-06,3,3,0,,,0,0
L:N24001886,,N24001886,2025-04,2025-06,3,3,0,,,0,0
L:N24001887,,N24001887,2025-04,2025-05,2,2,0,,,0,0
L:N24001888,,N24001888,2025-04,2025-05,2,2,0,,,0,0
L:N24001889,,N24001889,2025-04,2025-05,2,2,0,,,0,0
L:N24001890,,N24001890,2025-04,2025-06,3,3,0,,,0,0
L:N24001891,,N24001891,2025-04,2025-06,3,3,0,,,0,0
L:N24001892,,N24001892,2025-04,2025-06,3,3,0,,,0,0
L:N24001894,,N24001894,2025-04,2025-05,2,2,0,,,0,0
L:N24001895,,N24001895,2025-04,2025-05,2,2,0,,,0,0
L:N24001896,,N24001896,2025-04,2025-06,3,3,0,,,0,0
L:N24001897,,N24001897,2025-04,2025-06,3,3,0,,,0,0
L:N24001898,,N24001898,2025-04,2025-06,3,3,0,,,0,0
L:N24001899,,N24001899,2025-04,2025-06,3,3,0,,,0,0
L:N24001900,,N24001900,2025-04,2025-06,3,3,0,,,0,0
L:N24001901,,N24001901,2025-04,2025-06,3,3,0,,,0,0
L:N24001902,,N24001902,2025-04,2025-06,3,3,0,,,0,0
L:N24001903,,N24001903,2025-04,2025-06,3,3,0,,,0,0
L:N24001904,,N24001904,2025-04,2025-06,3,3,0,,,0,0
L:N24001905,,N24001905,2025-04,2025-05,2,2,0,,,0,0
L:N24001906,,N24001906,2025-04,2025-06,3,3,0,,,0,0
L:N24001907,,N24001907,2025-04,2025-06,3,3,0,,,0,0
L:N24001908,,N24001908,2025-04,2025-06,3,3,0,,,0,0
L:N24001909,,N24001909,2025-04,2025-05,2,2,0,,,0,0
L:N24001910,,N24001910,2025-04,2025-06,3,3,0,,,0,0
L:N24001911,,N24001911,2025-04,2025-06,3,3,0,,,0,0
L:N24001912,,N24001912,2025-04,2025-06,3,3,0,,,0,0
L:N24001914,,N24001914,2025-04,2025-06,3,3,0,,,0,0
L:N24001915,,N24001915,2025-04,2025-06,3,3,0,,,0,0
L:N24001916,,N24001916,2025-04,2025-06,3,3,0,,,0,0
L:N24001917,,N24001917,2025-04,2025-06,3,3,0,,,0,0
L:N24001919,,N24001919,2025-04,2025-06,3,3,0,,,0,0
L:N24001920,,N24001920,2025-04,2025-06,3,3,0,,,0,0
L:N24001921,,N24001921,2025-04,2025-06,3,3,0,,,0,0
L:N24001922,,N24001922,2025-04,2025-06,3,3,0,,,0,0
L:N24001923,,N24001923,2025-04,2025-06,3,3,0,,,0,0
L:N24001924,,N24001924,2025-04,2025-06,3,3,0,,,0,0
L:N24001925,,N24001925,2025-04,2025-06,3,3,0,,,0,0
L:N24001926,,N24001926,2025-04,2025-06,3,3,0,,,0,0
L:N24001927,,N24001927,2025-04,2025-06,3,3,0,,,0,0
L:N24001928,,N24001928,2025-04,2025-06,3,3,0,,,0,0
L:N24001929,,N24001929,2025-04,2025-06,3,3,0,,,0,0
L:N24001932,,N24001932,2025-04,2025-06,3,3,0,,,0,0
L:N24001934,,N24001934,2025-04,2025-06,3,3,0,,,0,0
L:N24001935,,N24001935,2025-04,2025-06,3,3,0,,,0,0
L:N24001936,,N24001936,2025-04,2025-06,3,3,0,,,0,0
L:N24001937,,N24001937,2025-04,2025-06,3,3,0,,,0,0
L:N24001938,,N24001938,2025-04,2025-06,3,3,0,,,0,0
L:N24001939,,N24001939,2025-04,2025-06,3,3,0,,,0,0
L:N24001940,,N24001940,2025-04,2025-06,3,3,0,,,0,0
L:N24001941,,N24001941,2025-04,2025-06,3,3,0,,,0,0
L:N24001942,,N24001942,2025-04,2025-06,3,3,0,,,0,0
L:N24001943,,N24001943,2025-04,2025-06,3,3,0,,,0,0
L:N24001944,,N24001944,2025-04,2025-06,3,3,0,,,0,0
L:N24001945,,N24001945,2025-04,2025-06,3,3,0,,,0,0
L:N24001946,,N24001946,2025-04,2025-06,3,3,0,,,0,0
L:N24001947,,N24001947,2025-04,2025-06,3,3,0,,,0,0
L:N24001948,,N24001948,2025-04,2025-06,3,3,0,,,0,0
L:N24001951,,N24001951,2025-04,2025-06,3,3,0,,,0,0
L:N24001952,,N24001952,2025-04,2025-06,3,3,0,,,0,0
L:N24001953,,N24001953,2025-04,2025-06,3,3,0,,,0,0
L:N24001954,,N24001954,2025-04,2025-06,3,3,0,,,0,0
L:N24001955,,N24001955,2025-04,2025-06,3,3,0,,,0,0
L:N24001956,,N24001956,2025-04,2025-06,3,3,0,,,0,0
L:N24001957,,N24001957,2025-04,2025-06,3,3,0,,,0,0
L:N24001958,,N24001958,2025-04,2025-06,3,3,0,,,0,0
L:N24001959,,N24001959,2025-04,2025-06,3,3,0,,,0,0
L:N24001960,,N24001960,2025-04,2025-06,3,3,0,,,0,0
L:N24001961,,N24001961,2025-04,2025-06,3,3,0,,,0,0
L:N24001962,,N24001962,2025-04,2025-06,3,3,0,,,0,0
L:N24001963,,N24001963,2025-04,2025-06,3,3,0,,,0,0
L:N24001964,,N24001964,2025-04,2025-06,3,3,0,,,0,0
L:N24001965,,N24001965,2025-04,2025-06,3,3,0,,,0,0
L:N24001966,,N24001966,2025-04,2025-05,2,2,0,,,0,0
L:N24001967,,N24001967,2025-04,2025-06,3,3,0,,,0,0
L:N24001968,,N24001968,2025-04,2025-06,3,3,0,,,0,0
L:N24001969,,N24001969,2025-04,2025-06,3,3,0,,,0,0
L:N24001970,,N24001970,2025-04,2025-06,3,3,0,,,0,0
L:N24001971,,N24001971,2025-04,2025-06,3,3,0,,,0,0
L:N24001972,,N24001972,2025-04,2025-06,3,3,0,,,0,0
L:N24001973,,N24001973,2025-04,2025-06,3,3,0,,,0,0
L:N24001974,,N24001974,2025-04,2025-06,3,3,0,1,1,0,0
L:N24001975,,N24001975,2025-04,2025-06,3,3,0,,,0,0
L:N24001976,,N24001976,2025-04,2025-06,3,3,0,,,0,0
L:N24001977,,N24001977,2025-04,2025-06,3,3,0,,,0,0
L:N24001978,,N24001978,2025-04,2025-06,3,3,0,,,0,0
L:N24001979,,N24001979,2025-04,2025-06,3,3,0,,,0,0
L:N24001980,,N24001980,2025-04,2025-06,3,3,0,,,0,0
L:N24001981,,N24001981,2025-04,2025-06,3,3,0,,,0,0
L:N24001982,,N24001982,2025-04,2025-06,3,3,0,,,0,0
L:N24001983,,N24001983,2025-04,2025-06,3,3,0,,,0,0
L:N24001984,,N24001984,2025-04,2025-06,3,3,0,,,0,0
