report_month,source_file,source_page,source_section,sl_no,project_name,agency,state,legacy_ocms_code,alternate_id,current_project_code,review_status,failure_type,raw_text_reference,notes
2025-08,FlashReport_August_2025.pdf,59,Table 6: All Ongoing Projects,618,(705632) Telangana) Murkongselek-Pasighat Multi-States NA,Northeast Frontier Railway (NFR,,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p59; Table 6: All Ongoing Projects; sl_no=618,Validation extraction recovered source primary code 705401 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,59,Table 6: All Ongoing Projects,619,"(705401) Pradesh, Assam) Lumding Furkating Doubling Project 140 km Multi-States NA",Northeast Frontier Railway [NFR],Assam,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p59; Table 6: All Ongoing Projects; sl_no=619,Validation extraction recovered source primary code 616701 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,59,Table 6: All Ongoing Projects,620,(616701) Nagaland) Dimapur [Dhansiri]-Sukhobi Kohima [Zubza] NL [82.5 Km] Multi-States,Northeast Frontier Railway [NFR],Assam,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p59; Table 6: All Ongoing Projects; sl_no=620,Validation extraction recovered source primary code 705392 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,59,Table 6: All Ongoing Projects,621,"(705392) Nagaland) New Delhi- Howrah Speed Booster[160Kmph] Project Multi-States (Bihar, Delhi, NA",705794,Jharkhand,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_August_2025.pdf:p59; Table 6: All Ongoing Projects; sl_no=621,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,626,NER Provision of Automatic Block Signalling on Gorakhpur Cantt[Excl] Chhapra Multi-States Gramin & Burhwal Jn [Excl] Sitapur Jn section of high density routes NA,North Eastern Railway [NER],Bihar,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=626,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,627,Pradesh) (611669) Gorakhpur-Valmikinagar Doubling project Multi-States NA,NER,Bihar,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=627,Validation extraction recovered source primary code 617224 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,628,(617224) Pradesh) Chhapra-Ballia Patch Doubling Multi-States,North Eastern Railway [NER],Bihar,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=628,Validation extraction recovered source primary code 705562 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,629,(705562) Pradesh) Katihar - Kumedpur Doubling Line Project Multi-States,GM/C/ NFR,Bihar,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=629,Validation extraction recovered source primary code 706844 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,630,(706844) Bengal) Rajnandgaon - Nagpur [Kalumna] Third Railway Line [228.30 km] Multi-States,South East Central Railway [SECR] - II,Chhattisgarh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=630,Validation extraction recovered source primary code 705617 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,631,(705617) Maharashtra) Jagdalpur-Koraput Multi-States,East Coast Railway [ECoR] - II,Chhattisgarh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=631,Validation extraction recovered source primary code 705511 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,632,(705511) Odisha) Jharsuguda-Bilaspur Fourth Railway Line [206 km] Multi-States,SECR,Chhattisgarh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=632,Validation extraction recovered source primary code 705616 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,633,(705616) Odisha) Mumbai-Ahmedabad High Speed Rail Project- 508 km Multi-States (Dadra & Nagar,705728,,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=633,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,634,"& Diu, Gujarat, Maharashtra) New Delhi- Mumbai Speed Booster[160Kmph] Project Multi-States (Delhi, Gujarat, Madhya NA",705793,,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=634,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,635,"Maharashtra, Rajasthan) Hospet - Tinaighat - Vasco Rail Doubling Project Multi-States (Goa,",RVNL - II,,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=635,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,636,"Karnataka) () () (5060) (705650) Hospet-Hubli-Vasco da Gama Line Electrification Project Multi-States (Goa, NA",RVNL,,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=636,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,637,"Karnataka) () () (1122.62) (706950) Western Dedicated Freight Corridor Multi-States (Gujarat, Haryana,",705237,Maharashtra,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=637,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,638,"Rajasthan, Uttar Pradesh) New line Dahod-Indore via Sardarpur, Jabuwa and Dhar Multi-States",Western Railway [WR] - II,Gujarat,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=638,Validation extraction recovered source primary code 705453 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,639,(705453) Pradesh) Chhota Udaipur - Dhar New Line Project [157 km] Multi-States,Western Railway [WR] - II,Gujarat,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=639,Validation extraction recovered source primary code 705454 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,640,(705454) Pradesh) MUMBAI CENTRAL VIRAR VADODARA AHMEDABAAD TRAIN PROTECTION Multi-States SYSTEM 500 RKM,Western Railway,Gujarat,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=640,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,641,Maharashtra) (611452) Taranga Hill-Abu Road via Ambaji Multi-States,North Western Railway [NWR],Gujarat,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=641,Validation extraction recovered source primary code 400022 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,642,(400022) Rajasthan) LUNI- SAMDARI- BHILDI DOUBLING Multi-States,North Western Railway [NWR],Gujarat,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=642,Validation extraction recovered source primary code 616842 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,643,(616842) Rajasthan) Chandigarh-Baddi New Rail Line- 36 km Multi-States,Northen Railway [NR],Haryana,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=643,Validation extraction recovered source primary code 705424 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,644,(705424) Himachal Pradesh) Rewari - Kathuwas Doubling Project [27.72 Km] Multi-States,North Western Railway [NWR],Haryana,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=644,Validation extraction recovered source primary code 611861 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,645,(611861) Rajasthan) Nangal Dam-Talwara New Broad Gauge Line [84 KM] and Taking Over Siding Multi-States Mukerian-Talwara [29 KM],Northen Railway [NR],,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=645,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,646,"Pradesh, Punjab) (705410) Bhanupalli-Bilaspur-Beri New Railway Line Project Multi-States",RVNL - II,,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=646,Validation extraction recovered source primary code 705428 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,647,"(705428) Pradesh, Punjab) Doubling of Hatia [Ranchi]-Bondamunda Rail Line - 159 km Multi-States",South Eastern Railway - JH,Jharkhand,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=647,Validation extraction recovered source primary code 705628 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,648,"(705628) Odisha) Buramara-Chakulia new line [59.96 km] Multi-States (Jharkhand,",South Eastern Railway [SER] - I,,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=648,Validation extraction recovered source primary code 616588 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,649,"Odisha, West () (-) (1459.13) Bengal) Chandil - Anara - Damodar - 3rd line [121.26 km] Multi-States NA",CAO/C/SER,Jharkhand,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=649,Validation extraction recovered source primary code 616227 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,650,(616227) Bengal) KHARAGPUR-ADITYAPUR THIRD RAIL LINE- 132 KM Multi-States,RVNL - II,Jharkhand,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=650,Validation extraction recovered source primary code 705668 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,651,(705668) Bengal) Hotgi-Kudgi-Gadag Doubling Project Multi-States,South Western Railway [SWR] - II,Karnataka,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=651,Validation extraction recovered source primary code 705662 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,60,Table 6: All Ongoing Projects,652,(705662) Maharashtra) Baiyyappanahalli - Hosur Doubling Project [48 km] Multi-States,Karnataka Rail Infrastructure Development Company Limited [K-RIDE],Karnataka,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p60; Table 6: All Ongoing Projects; sl_no=652,Validation extraction recovered source primary code 703586 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,61,Table 6: All Ongoing Projects,653,(703586) Nadu) Trivandrum- Kanyakumari Multi-States,Southern Railway (SR,Kerala,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p61; Table 6: All Ongoing Projects; sl_no=653,Validation extraction recovered source primary code 705635 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,61,Table 6: All Ongoing Projects,654,(705635) Nadu) Ratlam-Mhow-Khandwa-Akola Gauge Conversion Multi-States,Western Railway [WR] - II,Madhya Pradesh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p61; Table 6: All Ongoing Projects; sl_no=654,Validation extraction recovered source primary code 705457 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,61,Table 6: All Ongoing Projects,655,(705457) Maharashtra) Itarsi - Nagpur Third Railway Line [280 km] Multi-States,Central Railway [CR] - II,Madhya Pradesh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p61; Table 6: All Ongoing Projects; sl_no=655,Validation extraction recovered source primary code 705507 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,61,Table 6: All Ongoing Projects,656,(705507) Maharashtra) Gwalior - Seopurkala with extension to Kota [Gauge Conversion] Multi-States,North Central Railway,Madhya Pradesh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p61; Table 6: All Ongoing Projects; sl_no=656,Validation extraction recovered source primary code 705419 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,61,Table 6: All Ongoing Projects,657,(705419) Rajasthan) Ramganjmandi-Bhopal New Line Project [262 km] Multi-States,West Central Railway [WCR] - II,Madhya Pradesh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p61; Table 6: All Ongoing Projects; sl_no=657,Validation extraction recovered source primary code 705481 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,61,Table 6: All Ongoing Projects,658,(705481) Rajasthan) Nimach-Badi Sadri New Rail Line Project Multi-States,Western Railway [WR] - II,Madhya Pradesh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p61; Table 6: All Ongoing Projects; sl_no=658,Validation extraction recovered source primary code 705764 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,61,Table 6: All Ongoing Projects,659,"(705764) Rajasthan) Mathura-Jhansi Third Railway Line [274 Km] Multi-States (Madhya Pradesh,",RVNL - II,,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p61; Table 6: All Ongoing Projects; sl_no=659,Validation extraction recovered source primary code 705667 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,61,Table 6: All Ongoing Projects,660,"Rajasthan, Uttar () () (5961) Pradesh) Jhansi - Bina Third Railway Line [153 Km] Multi-States",CAO/C/NCR,Madhya Pradesh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p61; Table 6: All Ongoing Projects; sl_no=660,Validation extraction recovered source primary code 705598 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,61,Table 6: All Ongoing Projects,661,(705598) Uttar Pradesh) Jhansi-Khairar-Manikpur & Khirar-Bhimsen Multi-States,North Central Railway,Madhya Pradesh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p61; Table 6: All Ongoing Projects; sl_no=661,Validation extraction recovered source primary code 705608 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,61,Table 6: All Ongoing Projects,662,(705608) Uttar Pradesh) Third Line [new] between Kazipet - Balharshah with electrification [201.04 Km] Multi-States,South Central Railway [SCR] - II,Maharashtra,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p61; Table 6: All Ongoing Projects; sl_no=662,Validation extraction recovered source primary code 705613 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,61,Table 6: All Ongoing Projects,663,(705613) Telangana) Narayangarh-Bhadrak 3rd line Multi-States,South Eastern Railway [SER] - I,Odisha,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p61; Table 6: All Ongoing Projects; sl_no=663,Validation extraction recovered source primary code 705629 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,61,Table 6: All Ongoing Projects,664,(705629) Bengal) Nagapattinam-Tiruturaipundi and Karaikal-Peralam New Line Multi-States,Southern Railway [SR] - II,Puducherry,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p61; Table 6: All Ongoing Projects; sl_no=664,Validation extraction recovered source primary code 400223 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,61,Table 6: All Ongoing Projects,665,(400223) Nadu) Sivok-Rangpo New Rail Line Multi-States,Indian Railway Construction International Limited [IRCON],Sikkim,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p61; Table 6: All Ongoing Projects; sl_no=665,Validation extraction recovered source primary code 705432 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,61,Table 6: All Ongoing Projects,666,"(705432) Bengal) Sainthia, Sitarampur, Mughalsarai, Allahabad & Etawah - Bypass Line Project Multi-States (Uttar",Eastern Railway [ER] - I,,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p61; Table 6: All Ongoing Projects; sl_no=666,Validation extraction recovered source primary code 602797 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,63,Table 6: All Ongoing Projects,739,SETTING UP OF PHYSICAL INFRASTRUCTURE FOR THE NATIONAL INSTITUTE OF COMMUNICATION FINANCE [NICF] AT GHITORNI,,Delhi,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_August_2025.pdf:p63; Table 6: All Ongoing Projects; sl_no=739,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-08,FlashReport_August_2025.pdf,64,Table 6: All Ongoing Projects,741,"Mobile connectivity in Left Wing Extremism [LWE] affected areas-Phase2 Multi-States (Andhra Pradesh, (701599) Bihar, Chhattisgarh, Jharkhand, NA",Department of Telecommunications [DoT],Madhya Pradesh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p64; Table 6: All Ongoing Projects; sl_no=741,Validation extraction recovered source primary code 701599 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,64,Table 6: All Ongoing Projects,742,"Maharashtra, Odisha, Telangana, Uttar Pradesh, West Bengal) Provision of 4G based mobile services in 7,287 uncovered villages of 44 Aspirational Multi-States District across 5 states of Andhra Pradesh, Chhattisgarh, Jharkhand, Maharashtra & (Andhra Pradesh, Odisha Chhattisgarh,",,,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_August_2025.pdf:p64; Table 6: All Ongoing Projects; sl_no=742,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-08,FlashReport_August_2025.pdf,64,Table 6: All Ongoing Projects,743,"Jharkhand, () () (3685) (701602) Maharashtra, Odisha) Provision of 4G Mobile Services in Uncovered Villages of Arunachal Pradesh and Multi-States Districts of Assam",Department of Telecommunications [DoT],,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p64; Table 6: All Ongoing Projects; sl_no=743,Validation extraction recovered source primary code 701602 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,64,Table 6: All Ongoing Projects,744,"Pradesh, Assam) (701597) 354 Uncovered Villages Scheme Multi-States (Bihar, Gujarat, (701600) Himachal Pradesh,",Department of Telecommunications [DoT],,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p64; Table 6: All Ongoing Projects; sl_no=744,Validation extraction recovered source primary code 701600 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,64,Table 6: All Ongoing Projects,745,"Kashmir, Ladakh, Rajasthan, Uttar Pradesh) 502 Aspirational District Scheme in Four states - Bihar, Madhya Pradesh, Rajastha Multi-States and Uttar Pradesh (Bihar, Madhya NA",Department of Telecommunications [DoT],,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_August_2025.pdf:p64; Table 6: All Ongoing Projects; sl_no=745,Validation extraction recovered source primary code 704495 at the same report/serial address; the baseline value was blank.
2025-08,FlashReport_August_2025.pdf,64,Table 6: All Ongoing Projects,746,"(704495) Rajasthan, Uttar Pradesh) PHASE-I OF CONSOLIDATION OF EXISTING CDR DATA CENTERS AND NIB-P3 Multi-States DATA CENTERS WITH STATE OF THE ART NA",BSNL,Maharashtra,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_August_2025.pdf:p64; Table 6: All Ongoing Projects; sl_no=746,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-09,FlashReport_September_2025.pdf,49,Table 6: All Ongoing Projects,217,Comprehensive Scheme for Strengthening of Transmission and Distribution [T&D] Multi-States Systems [CSST&DS] in Arunachal Pradesh and Sikkim,Power Grid Corporation of India Limited [POWERGRID],(Arunachal,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_September_2025.pdf:p49; Table 6: All Ongoing Projects; sl_no=217,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-09,FlashReport_September_2025.pdf,50,Table 6: All Ongoing Projects,221,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B Multi-States (Dadra & Nagar,400005,Haveli and Daman,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_September_2025.pdf:p50; Table 6: All Ongoing Projects; sl_no=221,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-09,FlashReport_September_2025.pdf,50,Table 6: All Ongoing Projects,226,Maharashtra) (615347) Transmission system for evacuation of power from Rajasthan REZ Ph-IV [Part- 3/6GW] [Bikaner complex] Part A [SPV Name POWERGRID Bikaner IV Transmission Multi-States,Power Grid Corporation of India Limited [POWERGRID],"Limited] (Haryana, Punjab,",,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_September_2025.pdf:p50; Table 6: All Ongoing Projects; sl_no=226,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-09,FlashReport_September_2025.pdf,50,Table 6: All Ongoing Projects,227,Rajasthan) (615339) TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH-IV [PART-3/ 6 GW] [BIKANER COMPLEX] PART B [SPV Name Multi-States,Power Grid Corporation of India Limited [POWERGRID],"POWERGRID Siwani Transmission Limited] (Haryana,",,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_September_2025.pdf:p50; Table 6: All Ongoing Projects; sl_no=227,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-09,FlashReport_September_2025.pdf,50,Table 6: All Ongoing Projects,230,Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5. GW] [Jaisalmer/Barmer Complex] Part D [SPV Name POWERGRID Beawar Multi-States,,"Mandsaur Transmission Limited] (Madhya Pradesh,",,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_September_2025.pdf:p50; Table 6: All Ongoing Projects; sl_no=230,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
